2019-04-16 23:47:41.619 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-16 23:47:41.619 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@460b77d6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6cb662e8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@13f2d42c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1071ae7c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@dd9de63, org.springframework.test.context.transaction.TransactionalTestExecutionListener@52a75c12, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@57f1a1de, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4a6ef712, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@98712fa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@61288814, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b8d2abe, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6669cba]
2019-04-16 23:47:41.628 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.label.TestBase], using SpringBootContextLoader
2019-04-16 23:47:41.633 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.label.TestBase]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-16 23:47:41.633 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.label.TestBase]: TestBase does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-16 23:47:41.635 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.label.LabelApplication for test class com.label.TestBase
2019-04-16 23:47:41.636 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-16 23:47:41.637 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37c74e4e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@128a188a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@400008bf, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72b1df49, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7f894a6f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3d05435c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d80e1b3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1b732dd, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3458dab6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@23d060c2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@59278072, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@61be6051]
2019-04-16 23:47:41.668 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2019-04-16 23:47:41.687 [Thread-2] INFO  c.alibaba.druid.pool.DruidDataSource -{dataSource-1} closed
